ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
GOOGL:US,10,7,3,-35000.0,6,Alphabet Inc,Communication Services,0.7,SELL
ACI:US,2,0,2,-40500.0,1,Albertsons Cos Inc,Consumer Staples,0.0,SELL
ADBE:US,4,1,3,-40500.0,3,Adobe Inc,Technology,0.25,SELL
PINS:US,2,0,2,-40500.0,1,Pinterest Inc,Communication Services,0.0,SELL
MCD:US,2,0,2,-40500.0,2,McDonald's Corp,Consumer Discretionary,0.0,SELL
HONA:US,2,0,2,-40500.0,2,HONEYWELL AEROSPACE INC,Industrials,0.0,SELL
MDT:US,2,0,2,-40500.0,2,Medtronic PLC,Healthcare,0.0,SELL
BA:US,2,0,2,-40500.0,1,Boeing Co,Industrials,0.0,SELL
MODG:US,6,0,6,-48000.0,1,Topgolf Callaway Brands Corp,Industrials,0.0,SELL
BLK:US,5,1,4,-48500.0,3,Blackrock Inc,Financials,0.2,SELL
ABT:US,3,0,3,-48500.0,3,Abbott Laboratories,Healthcare,0.0,SELL
ACN:US,4,0,4,-56500.0,2,Accenture PLC,Technology,0.0,SELL
MSFT:US,7,3,4,-57000.0,5,Microsoft Corp,Technology,0.42857142857142855,SELL
TENB:US,8,0,8,-64000.0,1,TENABLE HOLDINGS INC,Technology,0.0,SELL
ZBH:US,5,0,5,-64500.0,1,Zimmer Biomet Holdings Inc,Healthcare,0.0,SELL
CRM:US,4,1,3,-65000.0,3,salesforce.com Inc,Technology,0.25,SELL
PG:US,5,2,3,-75000.0,4,The Procter & Gamble Co,Consumer Staples,0.4,SELL
MCHP:US,3,1,2,-75000.0,1,Microchip Technology Inc,Technology,0.3333333333333333,SELL
PEP:US,4,0,4,-81000.0,3,PepsiCo Inc,Consumer Staples,0.0,SELL
HD:US,4,1,3,-83000.0,4,The Home Depot Inc,Consumer Discretionary,0.25,SELL
COST:US,2,0,2,-83000.0,2,Costco Wholesale Corp,Consumer Staples,0.0,SELL
T:US,3,1,2,-99500.0,2,AT&T Inc,Communication Services,0.3333333333333333,SELL
AAPL:US,7,3,4,-175000.0,6,Apple Inc,Technology,0.42857142857142855,SELL
TKNO:US,92,1,91,-965000.0,1,ALPHA TEKNOVA INC,Healthcare,0.010869565217391304,SELL
TIC:US,4,0,4,-1332500.0,1,TIC SOLUTIONS INC,Industrials,0.0,SELL
